Row Labels,Count of total_raised_musd
China,82
Artificial intelligence,19
Auto & transportation,17
E-commerce & direct-to-consumer,29
Hardware,17
Germany,15
E-commerce & direct-to-consumer,4
Fintech,5
Internet software & services,3
Travel,3
India,40
E-commerce & direct-to-consumer,16
Fintech,14
Internet software & services,10
United Kingdom,32
Artificial intelligence,3
Fintech,25
Other,4
United States,301
Fintech,108
Health,50
Internet software & services,143
Grand Total,470
